Title,Author,Publisher,Description
ABUNDANCE,Ezra Klein and Derek Thompson,Avid Reader,A New York Times opinion columnist and a staff writer at The Atlantic evaluate obstacles to American progress.
EVERYTHING IS TUBERCULOSIS,John Green,Crash Course,The author of “The Anthropocene Reviewed” chronicles the fight against the deadly infectious disease tuberculosis.
THE ANXIOUS GENERATION,Jonathan Haidt,Penguin Press,A co-author of “The Coddling of the American Mind” looks at the mental health impacts that a phone-based life has on children.
ON TYRANNY,Timothy Snyder,Crown,Twenty lessons from the 20th century about the course of tyranny.
FIGHT,Jonathan Allen and Amie Parnes,Morrow,The authors of “Shattered” give an account of the 2024 presidential campaigns.
FAHRENHEIT-182,Mark Hoppus with Dan Ozzi,Dey Street,The singer and bassist for the pop-punk band Blink-182 looks back at moments from his life and career.
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery."
ON DEMOCRACIES AND DEATH CULTS,Douglas Murray,Broadside,The author of “The War on the West” gives his perspective on the conflict between Israel and Hamas.
CARELESS PEOPLE,Sarah Wynn-Williams,Flatiron,A former Facebook executive gives an account of policies and leadership at the social media platform.
JOHN & PAUL,Ian Leslie,Celadon,The 23-year relationship between John Lennon and Paul McCartney is viewed through the lens of the songs they wrote together.
THE WAGER,David Grann,Vintage,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.
WHO IS GOVERNMENT?,edited Michael Lewis,Riverhead,"Essays by Casey Cep, Dave Eggers, John Lanchester, Geraldine Brooks, Sarah Vowell, W. Kamau Bell and Michael Lewis illuminate the work of federal employees and the business of government."
UNCHARTED,Chris Whipple,Harper Influence,The author of “The Gatekeepers” shares anecdotes and insights from the 2024 presidential election.
OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.
THE TELL,Amy Griffin,Dial,The founder of the investment firm G9 Ventures recounts her efforts to recover from trauma she experienced during childhood.
